date,category,tags,expense,income,amount_clp,description,day
2025-01-01,Leisure,books,0.84,0.0,612.0,Audible ,Wednesday
2025-01-01,Food & Drinks,restaurants,11853.0,0.0,11853.0,none,Wednesday
2025-01-02,Food & Drinks,restaurants,8180.0,0.0,8180.0,none,Thursday
2025-01-02,Health & Personal Care,none,120000.0,0.0,120000.0,none,Thursday
2025-01-02,Food & Drinks,restaurants,7950.0,0.0,7950.0,none,Thursday
2025-01-03,Health & Personal Care,none,260000.0,0.0,260000.0,Therapy ,Friday
2025-01-03,Health & Personal Care,medical services,45000.0,0.0,45000.0,Orthodontist,Friday
2025-01-03,Home & Utilities,rent,849000.0,0.0,849000.0,none,Friday
2025-01-03,Food & Drinks,groceries,1450.0,0.0,1450.0,none,Friday
2025-01-04,Food & Drinks,restaurants,14209.0,0.0,14209.0,none,Saturday
2025-01-04,Food & Drinks,groceries,2490.0,0.0,2490.0,none,Saturday
2025-01-04,Home & Utilities,home improvement,9280.0,0.0,9280.0,The Pink Stuff,Saturday
2025-01-04,Leisure,movies & TV,6.38,0.0,6400.0,Disney plus,Saturday
2025-01-04,Home & Utilities,home improvement,15980.0,0.0,15980.0,Shower mat,Saturday
2025-01-05,Food & Drinks,coffee & tea,4400.0,0.0,4400.0,none,Sunday
2025-01-05,Food & Drinks,groceries,25116.0,0.0,25116.0,none,Sunday
2025-01-06,Food & Drinks,restaurants,6890.0,0.0,6890.0,none,Monday
2025-01-07,Food & Drinks,restaurants,4400.0,0.0,4400.0,none,Tuesday
2025-01-07,Home & Utilities,utilities,54060.0,0.0,54060.0,Freemet cleaning,Tuesday
2025-01-07,Home & Utilities,utilities,14476.0,0.0,14476.0,Enel,Tuesday
2025-01-08,Food & Drinks,groceries,15370.0,0.0,15370.0,none,Wednesday
2025-01-09,Food & Drinks,restaurants,7280.0,0.0,7280.0,none,Thursday
2025-01-09,Food & Drinks,restaurants,1690.0,0.0,1690.0,none,Thursday
2025-01-10,Home & Utilities,internet,25819.0,0.0,25819.0,none,Friday
2025-01-10,Food & Drinks,restaurants,11329.0,0.0,11329.0,none,Friday
2025-01-10,Education,AI,23.8,0.0,24025.0,ChatGPT,Friday
2025-01-10,Home & Utilities,home improvement,17890.0,0.0,17890.0,Adapters,Friday
2025-01-11,Food & Drinks,coffee & tea,13530.0,0.0,13530.0,none,Saturday
2025-01-11,Transport,taxi,3497.0,0.0,3497.0,none,Saturday
2025-01-11,Education,AI,2990.0,0.0,2990.0,Bear Pro,Saturday
2025-01-12,Transport,taxi,2619.0,0.0,2619.0,none,Sunday
2025-01-12,Transport,taxi,12196.0,0.0,12196.0,none,Sunday
2025-01-12,Food & Drinks,restaurants,20559.0,0.0,20559.0,none,Sunday
2025-01-12,Food & Drinks,groceries,37862.0,0.0,37862.0,none,Sunday
2025-01-13,Food & Drinks,restaurants,7950.0,0.0,7950.0,none,Monday
2025-01-13,Health & Personal Care,medical services,263736.0,0.0,263736.0,Banmedica,Monday
2025-01-13,Food & Drinks,groceries,18700.0,0.0,18700.0,none,Monday
2025-01-13,Leisure,movies & TV,9.19,0.0,6772.0,none,Monday
2025-01-14,Food & Drinks,restaurants,8800.0,0.0,8800.0,none,Tuesday
2025-01-14,Transport,taxi,24298.0,0.0,24298.0,none,Tuesday
2025-01-14,Food & Drinks,groceries,9120.0,0.0,9120.0,none,Tuesday
2025-01-14,Food & Drinks,coffee & tea,6600.0,0.0,6600.0,none,Tuesday
2025-01-14,Home & Utilities,mobile phone,22990.0,0.0,22990.0,Phone charger,Tuesday
2025-01-14,Transport,accommodation,736603.0,0.0,736603.0,Pop city hotel for mom and dad,Tuesday
2025-01-14,Food & Drinks,restaurants,11200.0,0.0,11200.0,none,Tuesday
2025-01-14,Gifts,none,11990.0,0.0,11990.0,Water bottle,Tuesday
2025-01-15,Transport,taxi,4678.0,0.0,4678.0,none,Wednesday
2025-01-15,Food & Drinks,groceries,10970.0,0.0,10970.0,none,Wednesday
2025-01-15,Food & Drinks,groceries,5900.0,0.0,5900.0,none,Wednesday
2025-01-15,Food & Drinks,groceries,18150.0,0.0,18150.0,none,Wednesday
2025-01-15,Food & Drinks,coffee & tea,10000.0,0.0,10000.0,none,Wednesday
2025-01-15,Transport,taxi,4998.0,0.0,4998.0,none,Wednesday
2025-01-16,Food & Drinks,coffee & tea,24800.0,0.0,24800.0,none,Thursday
2025-01-16,Transport,taxi,4897.0,0.0,4897.0,none,Thursday
2025-01-16,Food & Drinks,groceries,24417.0,0.0,24417.0,none,Thursday
2025-01-16,Food & Drinks,restaurants,54560.0,0.0,54560.0,none,Thursday
2025-01-17,Transport,travel,107118.0,0.0,107118.0,Cajón de Maipo tour,Friday
2025-01-17,Food & Drinks,restaurants,3000.0,0.0,3000.0,Ice cream,Friday
2025-01-18,Food & Drinks,coffee & tea,2200.0,0.0,2200.0,none,Saturday
