Date,Account,Category,Tags,Expense amount,Income amount,Currency,In main currency,Main currency,Description
1/1/25,DBS Savings,Leisure,books,0.84,0,SGD,612.00,CLP,Audible 
1/1/25,DBS Savings,Food & Drinks,restaurants,"11,853",0,CLP,"11,853",CLP,
1/2/25,DBS Savings,Food & Drinks,restaurants,"8,180",0,CLP,"8,180",CLP,
1/2/25,DBS Savings,Health & Personal Care,,"120,000",0,CLP,"120,000",CLP,
1/2/25,DBS Savings,Food & Drinks,restaurants,"7,950",0,CLP,"7,950",CLP,
1/3/25,DBS Savings,Health & Personal Care,,"260,000",0,CLP,"260,000",CLP,Therapy 
1/3/25,DBS Savings,Health & Personal Care,medical services,"45,000",0,CLP,"45,000",CLP,Orthodontist
1/3/25,DBS Savings,Home & Utilities,rent,"849,000",0,CLP,"849,000",CLP,
1/3/25,DBS Savings,Food & Drinks,groceries,"1,450",0,CLP,"1,450",CLP,
1/4/25,DBS Savings,Food & Drinks,restaurants,"14,209",0,CLP,"14,209",CLP,
1/4/25,DBS Savings,Food & Drinks,groceries,"2,490",0,CLP,"2,490",CLP,
1/4/25,DBS Savings,Home & Utilities,home improvement,"9,280",0,CLP,"9,280",CLP,The Pink Stuff
1/4/25,DBS Savings,Leisure,movies & TV,6.38,0,USD,"6,400.00",CLP,Disney plus
1/4/25,DBS Savings,Home & Utilities,home improvement,"15,980",0,CLP,"15,980",CLP,Shower mat
1/5/25,DBS Savings,Food & Drinks,coffee & tea,"4,400",0,CLP,"4,400",CLP,
1/5/25,DBS Savings,Food & Drinks,groceries,"25,116",0,CLP,"25,116",CLP,
1/6/25,DBS Savings,Food & Drinks,restaurants,"6,890",0,CLP,"6,890",CLP,
1/7/25,DBS Savings,Food & Drinks,restaurants,"4,400",0,CLP,"4,400",CLP,
1/7/25,DBS Savings,Home & Utilities,utilities,"54,060",0,CLP,"54,060",CLP,Freemet cleaning
1/7/25,DBS Savings,Home & Utilities,utilities,"14,476",0,CLP,"14,476",CLP,Enel
1/8/25,DBS Savings,Food & Drinks,groceries,"15,370",0,CLP,"15,370",CLP,
1/9/25,DBS Savings,Food & Drinks,restaurants,"7,280",0,CLP,"7,280",CLP,
